,제목,가사
1355,Panda Bear,<인디>같이있는데 자꾸 부르지마 혼자있는게 난 더 편하니까 조그만일에 화를 내지않아 더이상 내기분은 뜨겁지않아 내가 누군지 물어보지좀마 나도 내가 누군지 모르니까 이방에서 내가 사라진대도 그아무도없어진지 모를거야 난 욕심이없는 사람이야 그러니까 내게 호읠 베풀지마 언젠가 사랑이 찾아온대도 난 아마 알아채지도 못할꺼야 내가 싫어져도 내게 말하지마 나는 그저 멀어진다 여길꺼야 이방에서 내가 사라진대도 그아무도없어진지 모를거야 숨어있는 날봐도 쳐다보지마 사람들의 시선을 즐기지않아 혼자뒤로 쳐져도 신경쓰지마 나는 조용히 생각을 할뿐야 언젠가 사랑이 찾아온대도 난 아마 알아채지도 못할꺼야 이방에서 내가 사라진대도 그아무도없어진지 모를거야
1356,Die alone,<인디>뚝 밑에 앉아서 한참을 서성이다 일몰이 무서워 집으로 돌아오다 짠 눈물 자국을 들킬까 맘 졸였던 그날로부터가 만으로 한살이야 등 떠밀려 다시 또 짐을 싼 후 감흥 없는 저 눈물을 챙긴 후 배신과 배려가 베어 나오는 양지 바른 곳에 나는 묻힐래 날 떠날 사람은 얼른들 줄을 서요 눈을 부리며 마지막 마지막을 외어본다 그래 어차피 여긴 나 있을 곳 아니었고 뚝을 넘어 줄은 길게도 늘어져 끝이 없네 등 떠밀려 다시 또 짐을 싼 후 감흥 없는 저 눈물을 챙긴 후 배신과 배려가 배어나오는 양지 바른 곳에 나는 묻힐래 날 떠날 사람은 얼른들 줄을 서요 눈을 부리며 마지막 마지막을 외어본다 그래 어차피 여긴 나 있을 곳 아니었고 뚝을 넘어 줄은 길게도 늘어져 끝이 없네
1357,Tokyo Inn,<인디>건너 건너 본 적 있었던가 근데 난 왜 오늘따라 한가한가 너덜너덜해진 손톱에 마무리가 까끌까끌거려 잘랐다 난 맨 뒤에 아 그냥 숨을래 난 그냥 맨 뒤에 아 그냥 숨을래 아 그냥 맨 뒤에 난 그냥 숨을래 난 원래 숨어서 몰래 싸웠다 살다 살다 무슨 이런 일이 괜히 연거푸 연기만 뻐끔뻐끔 뱉다가 결심에 나 결심해 맨들맨들해진 놈으로다 잘랐다 난 싸웠다 
1360,Gang Gang Schiele,<인디> 정말 미안합니다 정말 미안합니다 
1364,Surf boy,<인디>파도가 하늘에 닿았다면 큰 구름이 만들어질 때를 노려야 해 혹시 구름들이 용암처럼 뭉치면 재를 털고 물을 피해 도망을 가야 해 모래가 귀에 들어오면 작은 모래성이 될 때를 기다려야 해 근데 이게 다시 눈에 들어가면 부둥켜 슬피 울 때까지 참아야 해 파란색 상어가 물려 할 때 죽은 척하면서 큰 물길을 살펴야 해 그래도 상어가 다시 달려오면 절대 우리 손을 놓을 일은 없어야 해 아니 그래도 찬 물살은 너무 추워요 자꾸 밀어 넣으면 난 못 나올지도 몰라 아니 그래도 찬 물살은 너무 추워요 이러다 엄마 저녁밥을 못 먹을지 몰라
1365,2002WorldCup,<인디> 넋 놓고 보던 검은 학생머리 괜히 뽑아 보던 우리 그런 사이 유난히 하얀 얼굴 막 받아온 아침 우유 색깔 우유 먹던 나이 유독 차디차던 손에 항상 배어있던 교회 형의 젊은 땀 그래도 눈은 날 보는 것 같아 자꾸 날 가지고 놀리던 그 밤 아무튼 그래서 나는 좋다 야 조금은 붉은 밝게 물든 머리 괜히 나도 같이 물들어가는 나이 마침내 다가오는 손을 지나 입이 먼저 갔던 우리 그런 사이 한번 떨어진 건 실수예요 같이 떨어지던 어른 같던 밤 철이 든 눈은 날 보는 것 같아 뜨거운 일기 위에 쏟았던 그 밤 아무튼 그래서 나는 좋다 야 
1366,Wanli万里,<인디>前方的月亮好奇妙 海上的船都看不着 昨天的后悔忘记了 今天的事都忘记了 전방의 달이 참 기묘하다 바다 위의 배들은 보이지 않는구나 어제의 후회는 잊었다 오늘의 일도 다 잊었다
1367,Silverhair Express,<인디>알아가거나 잊어가거나 사랑하거나 슬퍼하거나 잊어가거나 잊혀가거나 사랑해야지 슬퍼하지마
1372,지정석,<인디>택시에 몸을 실었지만 두고 왔던 편지 편지 때문인가 그렇게 늦지 않았지만 느려질 수 없는 걸음 때문인가 혼자서 혼자 떠들다가 도착해버린 목적지 때문인가 비행기 안이야 슬퍼 슬퍼 음악은 왜 이리 슬퍼 슬퍼 바깥보다 실내를 비추우는 검은 창가석에 앉아 나는 슬퍼 졸리우다 눈 뜨여진 건 못다 전한 마음 마음 때문인가 부치지 못한 건 아마도 그건 부도난 내 용기 때문인가 혼자서 혼자 떠들다가 도착해버린 목적지 때문인가 비행기 안이야 슬퍼 슬퍼 음악은 왜이리 슬퍼 슬퍼 바깥보다 실내를 비추우는 검은 창가석에 앉아 나는 슬퍼
1374,하늘나라,<인디>깊은 산속 작은 옹달샘 그 옆에 나 나쁜 마음 한입 베물고 죽어버렸네 긴 또 긴 밤이 날 찾아오면 참지 않을래 눈을 감고 깊은 산속 작은 옹달샘 그 옆에 나 나 덕분에 이제 그 누가 와서 먹나요
1375,Silverhair Express (장기하 Remix),<인디>예전에는 헤어진다는 것이 이런 의미가 아니었어 적어도 그때는 같은 하늘 아래에 있었지 예전에는 헤어진다는 것이 이런 의미가 아니었어 적어도 그때는 같은 하늘 아래에 있었지 같은 행성 위에서 같은 대기를 공유했단 말일세 하지만 지금은 심지어 같은 우주조차 아니야 내 사연을 아는 사람들은 내게 수십 년 동안 찾아와 위로의 말을 건넸다네 그래도 당신들은 같은 우주 안에 있는 것이라고 그 사실을 위안 삼으라고 잊어가거나 잊혀가거나 사랑해야지 슬퍼하지마 내 사연을 아는 사람들은 내게 수십 년 동안 찾아와 위로의 말을 건넸다네 그래도 당신들은 같은 우주 안에 있는 것이라고 그 사실을 위안 삼으라고 하지만 우리가 빛의 속도로 갈 수조차 없다면 같은 우주라는 개념이 대체 무슨 의미가 있나 우리가 아무리 우주를 개척하고 인류의 외연을 확장하더라도 그곳에 매번 그렇게 남겨지는 사람들이 생겨난다면 우리가 빛의 속도로 갈 수조차 없다면 같은 우주라는 개념이 대체 무슨 의미가 있나 우리는 점점 더 우주에 존재하는 외로움의 총합을 늘려갈 뿐인 게 아닌가
1376,MASITNONSOUL (맛있는술),<인디>술이 물이 되고 물이 불이 되는 한 잔에 부리부리하던 우리 눈이 열려 한 잔에 둘이 셋이 되고 셋이 넷이 되는 한 잔에 우리들이 부은 술이 불이 돼서 뜨겁네 술이 물이 되고 물이 술이 되어버렸네 부리부리하던 눈을 부려봐도 똑같네 둘이 셋이 되고 셋이 넷이 되는 첫 잔에 우리들이 부은 술이 불이 돼서 뜨겁네 보리 술이 소리 없이 우리 잔에 담기네 구리 구리하던 무리들이 잔을 들치네 둘이 셋인지 셋이 넷인진 모르겠지만 우리들이 부은 술이 아직까진 뜨겁네 집에 가는 줄이 멀리 멀리 길이 되어도 우리 둘이 집이 멀다 해도 나는 마시리 우리들이 그리 술이 굳이 좋은 이유는 유리잔에 술이 술이 아닌 달릴 술이니 매일 매일 매일 매일 매일 여기 모여
1380,Flat dog,<인디>오늘 나의 하루는 이 만큼 보물이라 아끼고 또 아끼다 이미 저 멀리에 아쉬운 마음 틈에 다시 튼 동을 보고 오늘 나의 하루라 거짓말을 했다 거울에 비친 나도 찰나의 과거였지 우린 늘 움직이니 비로소 가만히 맘은 어제와 같네 마음은 어제와 같네 다시 튼 동을 보고 안도를 느꼈다
1381,엉엉 크리스마스 (Christmas Tears),<인디>하얀눈을 두 눈위에 얹고 마음 놓고 울어버리면 뭐가 눈물인지 알 수 없겠지 살다보니 무지개는 없나 신기루에 혼이 팔려서 목적지 없이 뛰어만 가네 어제같은 오늘을 또 살고 우리들은 착각만 하네 우리가 사는 나쁜세상은 엉 엉 엉 엉 엉 엉 엉 엉 엉 엉 엉 엉 엉 엉 엉 엉 엉 엉
1388,사노라면,<인디>사노라면 언젠가는 밝은 날도 오겠지 흐린 날도 날이 새면 해가 뜨지 않더냐 새파랗게 젊다는 게 한밑천인데 쩨쩨하게 굴지 말고 가슴을 쫙 펴라 내일은 해가 뜬다 내일은 해가 뜬다 비가 새는 작은방에 새우 잠을 잔데도 고운 님 함께라면 즐거웁지 않더냐 오손도손 속삭이는 밤이 있는 한 쩨쩨하게 굴지 말고 가슴을 쫙 펴라 내일은 해가 뜬다 내일은 해가 뜬다 내일은 해가 뜬다 내일은 해가 뜬다 새파랗게 젊다는 게 한밑천인데 쩨쩨하게 굴지 말고 가슴을 쫙 펴라 내일은 해가 뜬다 내일은 해가 뜬다 내일은 해가 뜬다 내일은 해가 뜬다
1389,Vineyard (빈야드),<인디>멀리멀리 아주 멀리 날아가 버린 거짓말처럼 사라져버린 몰래 몰래 그린 그림을 지워가요 아직은 좀 선명하죠 웃어줘요 비가 내리면 바람이 불면 걷다가 보면 그대로인 내가 미워요 그대만의 내가 미워요 우우우우 우우우우 우우아아 비가 내리면 바람이 불면 걷다가 보면 그대로인 내가 오오 미워요 우우우우 우우우우 우우아아 
1390,민들레 (single ver.),<인디>우리 손 잡을까요 지난날은 다 잊어버리고 나를 사랑한다고 말해주세요 우리 동네에 가요 편한 미소를 지어 주세요 노란 꽃잎처럼 내 맘에 사뿐히 내려앉도록 바람결에 스쳐 갈까 내 마음에 심어질까 너에게 주고만 싶어요 사랑을 말하고 싶어 사랑해요 그대 있는 모습 그대로 너의 모든 눈물 닦아주고 싶어 어서 와요 그대 매일 기다려요 나 웃을게요 많이 그대를 위해 많이 많이 웃을게요 우리 손 잡을까요 널 얼마나 사랑하는데 오늘은 안아줘요 널 얼마나 기다렸는데 이제는 춤을 춰요 왜 왜 자꾸 멀어지려 해 우리 동네에 가요 왜 왜 자꾸 놓아주려 해 놓아주려 해 바람처럼 사라질까 내 마음을 채워줄까 나는 너를 보고 싶어요 너와 함께 하고 싶어 사랑해요 그대 있는 모습 그대로 너의 모든 시간 함께 하고 싶어 어서 와요 그대 같이 걸어가요 웃게 해줄게요 더 웃게 해줄게요 영원히
1391,청춘 (DAY),<인디>어젯밤엔 무슨 꿈을 꾸다 깼는지 놀란 마음을 쓸어내려야 했어요 손도 작은 내가 나를 달래고 나면 가끔은 눈물이 고여 무서워요 니가 없는 세상은 두려워요 혼자 걷는 이 밤은 바닷길에 그 어떤 숨은 보석도 내 눈물을 닦아줄 순 없죠 나는 그대의 아름다운 별이 되고 싶어요 날 이해해줘요 그대에게만 아름다운 꽃이 되고 싶어요 나를 불러줘요 널 비출 수 있게
1392,민들레 (full ver.),<인디>우리 손 잡을까요 지난날은 다 잊어버리고 나를 사랑한다고 말해주세요 우리 동네에 가요 편한 미소를 지어 주세요 노란 꽃잎처럼 내 맘에 사뿐히 내려앉도록 바람결에 스쳐 갈까 내 마음에 심어질까 무심코 내딛는 걸음에 아파하며 돌아설까 구겨진 잎사귀라도 예쁜 책에 꽂아놓고 너에게 주고만 싶어요 사랑을 말하고 싶어 사랑해요 그대 있는 모습 그대로 너의 모든 눈물 닦아주고 싶어 어서 와요 그대 매일 기다려요 나 웃을게요 많이 그대를 위해 많이 많이 웃을게요 우리 손 잡을까요 널 얼마나 사랑하는데 오늘은 안아줘요 널 얼마나 기다렸는데 이제는 춤을 춰요 왜 왜 자꾸 멀어지려 해 우리 동네에 가요 왜 왜 자꾸 놓아주려 해 놓아주려 해 바람처럼 사라질까 내 마음을 채워줄까 시간마저 쉴 수 있는 나의 집이 되어줄까 빗물이 나를 적시고 눈앞을 흐리게 해도 나는 너를 보고 싶어요 너와 함께 하고 싶어 사랑해요 그대 있는 모습 그대로 너의 모든 시간 함께 하고 싶어 어서 와요 그대 같이 걸어가요 웃게 해줄게요 더 웃게 해줄게요 영원히
1394,꿀차,<인디>하루는 차를 마시려고 했어 물을 끓이려고 주전자를 켰어 그러다 잠깐 네 생각을 했어 잠시 눈을 감고서 꿀 같은 향기를 들이 마셨을 때 내 볼을 적시는 한 방울 두 방울 이유를 알 수 없는 이 기분을 따라 이상하긴 해도 좀 슬프긴 해도 나 왠지 눈물이 나 너무나 달콤해서 너무나 달콤해서 하루는 무작정 기차에 탔어 창문에 머릴 기대고 잠이 들었어 사실은 네 생각을 많이 했어 선명했던 얼굴이 흐릿해져 갈 때까지 생각했어 내 볼을 적시는 한 방울 두 방울 이유를 알 수 없는 이 기분을 따라 이상하긴 해도 좀 슬프긴 해도 나 왠지 눈물이 나 너무나 달콤해서 너무나 달콤해서 너무나 달콤해서 달콤해서
1395,Teddy Bear Rises,<인디>하고 싶은 말은 해야 돼 안 그러면 정말 병이 돼 묻어두고 숨기려 해도 결국 드러나게 돼 있어 어떤 말들은 꼭 해야 돼 안 그러면 정말 후회해 솔직할 수 있는 시간도 이제 얼마 남지 않았어 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 하고 싶은 말은 해야 돼 늦기 전에 말해 줘야 돼 저기 멋진 저녁 노을이 대신 말해주지 않아요 어떤 말들은 꼭 해야 돼 안 그러면 정말 후회해 매일매일 해가 뜨듯이 너를 바라보고 있어요 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 후 
1396,아마도 우린,<인디>아마도 우린 아마도 여기까진가 봐 아무리 아닌 척 해봐도 이렇게 우린 서로에게 아픈 어쩌면 우린 서로를 위해 이렇게 내 손을 잡아 내 손을 잡아 줄래 내 손을 잡아 내 이름 불러 줄래 너에게 말하고 싶지만 언제나 함께 해주길 바래 나에게 너는 너만을 사랑할게 나에게 너는 니 눈물 닦아줄게 잡을 수 없는 닿을 수 없는 건가봐 그 아픈 마음까지도 이렇게 우린 서로에게 아픈 어쩌면 우린 서로를 위해 이렇게 내 손을 잡아 내 손을 잡아 줄래 내 손을 잡아 내 이름 불러 줄래 너에게 말하고 싶지만 언제나 함께 해주길 바래 나에게 너는 너만을 사랑할게 나에게 너는 니 눈물 닦아줄게 잡을 수 없는 닿을 수 없는 건가봐 그 아픈 마음까지도
1399,Papercut,<인디>01 바람에 날려갔으면 강물에 실려갔으면 무심히 나를 베었던 기억들이 떠나갔으면 보이지 않는 선들이 지워졌으면 훨훨 날아갔으면 모든 게 꿈이었으면 뭐든지 할 수 있는걸 없던 일이 될 수만 있다면 
1400,소녀감성100퍼센트,<인디>네 살 때 시작한 농구훈련 그땐 발레가 더 좋았지만 오빠는 말했지 날 키우겠다고 날 선수로 키워보겠다고 오빠의 야망은 이뤄지지 않았지만 난 아주 멋진 여고생이 됐지 치마만 아니면 앞머리만 아니면 일대일 누구든 자신있어 난 말야 난 말야 이럴 때가 좋아 옆반 훈남이 농구 할때 오 어쩌다 눈 마주치면 난 두근두근하고 그런 멍청한 짓은 안 해 난 순정만화 캐릭터가 아니니까 어쩌면 난 니가 멋있어서 보는지 몰라 어쩌면 난 니가 비웃고 있는지도 몰라 어쩌면 난 그냥 재밌는 건지도 몰라 난 난 난 난 말야 난 말야 이럴 때가 좋아 옆반 훈남이 농구 할때 오 어쩌다 눈 마주치면 난 두근두근하고 그런 멍청한 짓은 안 해 난 순정만화 캐릭터가 아니니까 어쩌면 난 니가 멋있어서 보는지 몰라 어쩌면 난 니가 비웃고 있는지도 몰라 어쩌면 난 그냥 재밌는 건지도 몰라 난 난 난 난 말야 난 말야 이럴 때가 좋아 재밌는 건지도 몰라
1403,금요일 (Feat. Philtre),<인디>그리운 내일은 금요일 내가 사랑하는 날 너는 내가 기다리던 금요일이야 니가 있어서 월요일을 견딜 수 있고 니가 있어서 월요일이 두렵지 않아 지금이 좋아도 난 너를 바라고 내일이 아파도 난 너를 볼 거야 이미 내 마음은 온통 금요일 여전히 아직도 너는 내 금요일 니가 있어서 난 오늘도 웃을 수 있고 니가 있어서 난 오늘도 눈물이 나와 지금이 좋아도 난 너를 바라고 내일이 아파도 난 너를 볼 거야 이미 내 마음은 온통 금요일 여전히 아직도 너는 내 금요일
1405,테니스,<인디>왜 모른척 했어 니 안에 숨어있던 감출 수 없는 테니스 스타 왜 잊으려 했어 너만의 상상 속에서 뼛속까지 넌 테니스 스타 상처가 날 때도 눈물이 날 때도 주저앉을 때도 여러번 있었지 이번엔 다를 걸 포기하지 않아 날아봐 더 높이 조금 더 빠르게 사랑스러워 너 날아오를 때 사랑스러워 너 다시 일어날 때 사랑스러워 너 내 생각할 때 사랑스러워 너 가끔 나를 볼 때 너의 맘을 열어 하늘을 향해 뛰는 너의 마음을 모두 내게 맡겨 혼자 가지 말어 풀려 버린 손까지도 내게 맡겨 사랑스러워 너 날아오를 때 사랑스러워 너 다시 일어날 때 사랑스러워 너 내 생각할 때 사랑스러워 너 가끔 나를 볼 때 너의 맘을 열어 하늘을 향해 흔들리는 맘까지도 내게 맡겨 사랑스러워 너 날아오를 때 사랑스러워 너 다시 일어날 때 사랑스러워 너 내 생각할 때 사랑스러워 너 가끔 나를 볼 때 
1409,토끼탈,<인디>눈을 씻고 찾아보아도 소리치며 불러보아도 손에 잡히지 않아요 나는 잡을 수 없어요 기억 속을 다시 걸어도 상상 속을 다시 헤매도 내겐 잡히지 않아요 주어지지 않아 행운 행운이란 없어 내 인생에 행운 같은 건 없어요 너무 큰 기대를 했나요 또다시 내 앞엔 토끼탈이 있어요 나한테 주어진 삶이 오늘도 이 탈을 쓰고 웃어요 어둠 속을 걷는 나라도 아무 쓸모 없는 나라도 옆에 있어주세요 행운 행운이란 없어 내 인생에 행운 같은 건 없어요 그래도 기대를 해봐요 또다시 내 앞에 한 사람이 있어요 나한테 주어진 삶이 어쩌면 오래전부터 있어요
1411,K드라마,<인디>넌 쓸 데 없이 쓰지 않아 그래서 부자야 넌 쓸 데 없이 주지 않아 그래서 부자야 그건 얼마짜리야 그래 넌 다 가졌는데 좀 슬퍼 보여서 난 돈도 없는데 맘밖에 없는데 자꾸만 주고 싶어 널 이해하고 받아주고 감싸주고 안아주고 또 널 바라보고 못된 너도 난 사랑한다고 하고 싶어 난 특별한 것 같진 않아 그래도 괜찮아 내 민낯은 이쁘지 않아 그래도 괜찮아 그래 가진 게 없는 난 참 바보 같은 난 또 어쩔 수 없이 또 쓸 데 없이 내 맘을 또 주고 있어 널 이해하고 받아주고 감싸주고 안아주고 또 널 바라보고 못된 너도 난 사랑한다고 또 나는 널 용서하고 잊어보고 지워봐도 사랑한다 난 널 밀어내고 후회해도 오늘도 여전히 너에게 너에게 너에게 너에게 주고 있어 너에게 주고 있어 너에게 주고 있어 너에게 주고 있어 너에게 내 맘을 또 주고 있어
1414,고슴도치의 기도,<인디>오늘도 고슴도치는 자기가 원하는 게 뭔지는 빨리도 깨달아요 하지만 좋든 싫든 직면하는 법을 모르는 고슴도치죠 누가 가르쳐 줬는지 피해가는 법만 배웠죠 그래서 아빤 말했죠 좋을 땐 기분을 조금만 묻어두자고 눈물이 떨어질 때 조금은 담아 두자고 필요할 때 꺼내 쓰자고 하지만 한참 어린 고슴도치 묻어 두는 것도 담아 두는 것도 몰라 어리석은 고슴도치 모르겠어요 모르겠어요 오늘도 내 하루는 왜 이리 힘이 드는 걸까요 모르겠어요 다가갈수록 더 아프지만 나는 사랑할래요 사랑할래요 너를
1416,스쿨버스,<인디> 너를 잡을 시간 학교 가는 걸음이 좀 다르네 손을 뻗어 닿은 하늘나라 둥글둥글 니 얼굴이 보이네 조심해 줘 나는 아직은 좀 살살 걸어줘야 하는 잔디처럼 여리다고 생각하지는 마 너보다는 강한 사람 이니까 너와 함께면 어디를 가도 이렇게 재미있을 것만 같아 조금 있으면 해가 진대도 조금 무서운 길을 걸어 갈 때도 좋을 것 같아 사랑스런 두 눈에 아름다운 구름을 담아 줄게요 삐뚤삐뚤하지만 작은 쪽지에 적어 네게 줄게요 나를 위한 거라고 생각해 왔었지만 네게 줄게요 너를 위한 거니까 너를 위한 거니까 나의 이름은 네게 줄게요 너와 함께면 어디를 가도 이렇게 재미있을 것만 같아 조금 있으면 해가 진대도 조금 무서운 길을 걸어 갈 때도 좋을 것 같아
1425,울고있을레게,<인디>너를 자꾸만 바라보아도 지구는 둥글게 돌고 너를 자꾸만 바라보아도 시간은 멈추질 않네 달라지는 건 없어 눈에 띌 만한 변화도 없어 자랑할 만한 사진도 없어 어쩌면 짐인지도 모르겠어 하지만 니가 난 좋아 울고 있을 레게 이 노랠 불러주고파 내일은 우리 함께 할는지 모르겠지만 겠지만 그래 우리 시간이 흐르고 울고 웃다 보면 많이 아플 때도 있겠지만 나의 눈이 되어줘 나의 손이 되어줘 항상 난 널 향해 피어날게 너에게 돌아갈래 너무 늦지는 않게 너에게 돌아갈래 너를 자꾸만 바라보아도 태양은 지구를 보며 돌고 너를 자꾸만 바라보아도 내 맘은 너를 향해 도네
1426,뻔한 치킨,<인디>숨막혔어 두꺼운 화장에 덮여서 답답했어 나한테 맞는 건 없었어 헤매고 헤맸어 사람들 하는 말 알 수가 없어서 잠기고 가라앉았어 위험했어 빠질 뻔 했어 똑같을 뿐이야 넌 나의 구원 나의 유일한 아 돌고 돌고 돌아도 이 세상은 변하지 않아 그리고 넌 뻔하지 않아 갇혀있어 남들이 원하는 그림에 관심없어 그들은 내 꿈에 마음에 헤매고 헤맸어 사람들 하는 말 알 수가 없어서 잠기고 가라앉았어 위험했어 빠질 뻔 했어 똑같을 뿐이야 넌 나의 미래 나의 유일한 아 돌고 돌고 돌아도 이 세상은 변하지 않아 그리고 넌 뻔하지
1427,VAMOS,<인디>다음 시간에 만나요 우리 둘만 몰래 솔직하게 말하면요 요즘 많이 외로워 그냥 날 믿지 말아요 어쩌다 마주친 나를 보지 말아요 제발 날 이해해줘요 나밖에 모르는 나도 사랑해줘요 눈을 보고 말해봐요 나를 얼마나 아는지 용기 낸 적이 있나요 누군가를 위해 날 떠나가줘요 잊지 못할 시간이란 없으니까요 제발 날 지워주세요 나도 너를 사랑할 수 없으니까요
1429,카메라,<인디>아픈 몸으로 이 방에 또 갇혀 있으면 어느새 또 시간은 지나가지를 않고 두근거리던 심장마저 숨은 것 같고 거울 속에는 남보다도 멀어져버린 나 지나가는 사람들 나를 보지 못해도 모두 하는 얘기들 나는 하지 못해도 아쉬운 것은 없어 단지 내가 믿었던 색깔들을 보고 싶어 소리들을 듣고 싶어 마침내 영원히 언제나 너와 낡은 일기장처럼 낡아 버린 나 새로운 바다를 찾아갈 수 있을까 넌 내게 말해 낡은 일기장 넌 내게 말해줘 처럼 낡아버린 나 넌 내게 말해 새로운 바다를 넌 내게 말해줘 찾아 갈 수 있을까
1435,라면,<인디>넌 다 잊었겠지만 그립지 않겠지만 들리지 않겠지만 나는 기억해 넌 다 잊었겠지만 보이지 않겠지만 원하지 않겠지만 너를 기억해 넌 내가 안 먹을걸 알면서 아무거나 안 먹는 나라는 걸 알면서 굳이 또 내 꺼까지 끓여서 먹이려고 했었어 대체 왜 그랬었어 왜냐고 왜냐면 왜냐면 너와 함께라면 함께라면 참깨라면 먹고 싶으니까 왜냐면 왜냐면 함께라면 너와 함께라면 꿈 깨라면 꿈 깨라면 깨고 싶으니까 왜냐면 왜냐면 너와 함께라면 함께라면 참깨라면 먹고 싶으니까 왜냐면 왜냐면 함께라면 너와 함께라면 꿈 깨라면 꿈 깨라면 깨고 싶으니까 부질 없는 거 다 아나요 허무한 거 아나요 부족한 거 아나요 의미 없는 거 다 아나요 이대로는 안돼요 라면은 이제 먹지 말아요
1436,수영,<인디>잔잔해져라 나의 마음아 어제까지만 해도 괜찮았었잖아 나의 마음아 가만 좀 있어라 누가 볼까 두려워 니 망설임 흔들림 이 설레임 움직임 감출 수 없는 두근거림 빠질 듯 말듯한 내 몸부림 울지 말아라 코풀지 말아라 어제까지만 해도 괜찮았었잖아 늙은 표정아 어린 아이야 누가 볼까 두려워 니 흐느낌 뒤틀림 더듬거림 비틀거림 가눌 수 없는 니 꿈들이 부풀어 오르네 기억들이 부풀어 오르네 기억들이 이 망설임 이 설레임 이 망설임 이 설레임 이 망설임 이 설레임 이 망설임 이 설레임 이 망설임 이 설레임 이 망설임 이 설레임 이 망설임 이 설레임 이 망설임 이 설레임
1437,SAD LOUNGE,<인디>솔직하게 말해 여기까지 들릴 수 있게 어서 내게 말해 다시 내가 숨쉴 수 있게 솔직하게 말해 여기까지 들릴 수 있게 어서 내게 말해 다시 내가 숨쉴 수 있게 게 쉴 수 있게 너를 잊게 숨쉴 수 있
1439,Seaside (Feat. The Quiett),<인디> 집에 돌아오는 길 평소보다 어두운 밤에 너는 묻지 왜 세상이 이렇게 어두운가를 더 힘들어지겠지 외로움을 거부한다면 나는 이해할 수 있어 너의 모든 감정들 니가 짊어진 짐들 내리고 어서 빛이 더 밝을 테니 어둠이 지나고 나서는 흔들림 없이 기다려 굳게 놓인 조각처럼 어차피 이 세상에는 정답은 없기에 고개를 들고서 살아가 이렇게 하지만 기억해 넌 혼자가 아냐 내가 있잖아 니 옆엔
1442,앵콜요청금지,<인디>안돼요 끝나버린 노래를 다시 부를 순 없어요 모두가 그렇게 바라고 있다 해도 더 이상 날 비참하게 하지 말아요 잡는 척이라면은 여기까지만 제발 내 마음 설레이게 자꾸만 바라보게 하지 말아요 아무 일 없던 것처럼 그냥 스쳐 지나갈 미련인 걸 알아요 아무리 사랑한다 말했어도 다시 돌아올 수 없는 그 때 그 맘이 부른다고 다시 오나요 아무래도 다시 돌아갈 순 없어 아무런 표정도 없이 이런 말하는 그런 내가 잔인한가요 아무래도 네가 아님 안되겠어 이런 말하는 자신이 비참한가요 그럼 나는 어땠을까요 아무래도 다시 돌아갈 순 없어 아무런 표정도 없이 이런 말하는 그런 내가 잔인한가요 안돼요 끝나버린 노래를 다시 부를 순 없어요 모두가 그렇게 바라고 있다 해도 더 이상 날 비참하게 하지 말아요 잡는 척이라면은 여기까지가 좋을 것 같아요
1443,사랑한다는 말로도 위로가 되지 않는,<인디>그런 날이 있어 그런 밤이 있어 말하지 아마도 말하지 않아도 조금은 이해할 수 있을 것 같다고 넌 말이 없었지만 그런 말이 있어 그런 마음이 있어 말하진 않았지 위로가 되기를 이런 말은 왠지 너를 그냥 지나쳐 버릴 것 같아서 정작 힘겨운 날엔 우린 전혀 상관없는 얘기만을 하지 정말 하고 싶었던 말도 난 할 수 없지만 사랑한다는 말로도 위로가 되지 않는 깊은 어둠에 빠져 있어 사랑한다는 말로도 위로가 되지 않는 정작 힘겨운 날엔 우린 전혀 상관없는 얘기만을 하지 정말 하고 싶었던 말도 난 할 수 없지만 사랑한다는 말로도 위로가 되지 않는 깊은 어둠에 빠져 있어 사랑한다는 말로도 위로가 되지 않는 사랑한다는 말로도 위로가 되지 않는
1444,어떻게든 뭐라도,<인디>어떻게든 뭐라도 해야 할 것 같아서 안간힘을 쓰고 애를 써 봤지만 어쩔 수가 없어서 시간만 흐르고 결국 포기하게 되는 순간이 숨이 막힐 것 같이 힘들었고 아무것도 손에 잡히지 않았지만 발버둥이라도 쳐봐야 하지 않을까 하지만 그건 혼자만의 생각이었죠 손가락 사이로 흩어지는 시간들을 혼자 잡으려고 발버둥 치는 동안 다들 편안히 잘 지냈는지 애쓰지 말고 편해지렴 수고했어 긴 시간 동안 할만큼 했다고 생각해 너는 이젠 어떡해야 할지 잘 모르겠지만 손가락 사이로 흩어지는 시간들을 혼자 잡으려고 발버둥 치는 동안 다들 편안히 잘 지냈는지 애쓰지 말고 편해지렴 수고했어 긴 시간 동안 할만큼 했다고 생각해 너는 이젠 어떡해야 할지 잘 모르겠지만 애쓰지 말고 편해지렴 수고했어 긴 시간 동안 할만큼 했다고 생각해 너는 이젠 어떡해야 할지 잘 모르겠지만 이젠 어떡해야 할지 잘 모르겠지만
